CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Cagliari,Genoa,3,3,2526
Udinese,Bologna,0,3,2526
Fiorentina,Juventus,1,1,2526
Napoli,Atalanta,3,1,2526
Verona,Parma,1,2,2526
Cremonese,Roma,1,3,2526
Lazio,Lecce,2,0,2526
Inter,Milan,0,1,2526
Torino,Como,1,5,2526
Sassuolo,Pisa,2,2,2526
Como,Sassuolo,2,0,2526
Genoa,Verona,2,1,2526
Parma,Udinese,0,2,2526
Juventus,Cagliari,2,1,2526
Milan,Lazio,1,0,2526
Lecce,Torino,2,1,2526
Pisa,Inter,0,2,2526
Atalanta,Fiorentina,2,0,2526
Roma,Napoli,0,1,2526
Bologna,Cremonese,1,3,2526
Sassuolo,Fiorentina,3,1,2526
Inter,Como,4,0,2526
Verona,Atalanta,3,1,2526
Cremonese,Lecce,2,0,2526
Cagliari,Roma,1,0,2526
Lazio,Bologna,1,1,2526
Napoli,Juventus,2,1,2526
Pisa,Parma,0,1,2526
Udinese,Genoa,1,2,2526
Torino,Milan,2,3,2526
Lecce,Pisa,1,0,2526
Torino,Cremonese,1,0,2526
Parma,Lazio,0,1,2526
Atalanta,Cagliari,2,1,2526
Milan,Sassuolo,2,2,2526
Fiorentina,Verona,1,2,2526
Udinese,Napoli,1,0,2526
Genoa,Inter,1,2,2526
Bologna,Juventus,0,1,2526
Roma,Como,1,0,2526
Lazio,Cremonese,0,0,2526
Juventus,Roma,2,1,2526
Cagliari,Pisa,2,2,2526
Sassuolo,Torino,0,1,2526
Fiorentina,Udinese,5,1,2526
Genoa,Atalanta,0,1,2526
Parma,Fiorentina,1,0,2526
Lecce,Como,0,3,2526
Torino,Cagliari,1,2,2526
Udinese,Lazio,1,1,2526
Pisa,Juventus,0,2,2526
Milan,Verona,3,0,2526
Cremonese,Napoli,0,2,2526
Bologna,Sassuolo,1,1,2526
Atalanta,Inter,0,1,2526
Roma,Genoa,3,1,2526
Cagliari,Milan,0,1,2526
Como,Udinese,1,0,2526
Genoa,Pisa,1,1,2526
Sassuolo,Parma,1,1,2526
Juventus,Lecce,1,1,2526
Atalanta,Roma,1,0,2526
Lazio,Napoli,0,2,2526
Fiorentina,Cremonese,1,0,2526
Verona,Torino,0,3,2526
Inter,Bologna,3,1,2526
Pisa,Como,0,3,2526
Lecce,Roma,0,2,2526
Sassuolo,Juventus,0,3,2526
Bologna,Atalanta,0,2,2526
Napoli,Verona,2,2,2526
Lazio,Fiorentina,2,2,2526
Parma,Inter,0,2,2526
Torino,Udinese,1,2,2526
Cremonese,Cagliari,2,2,2526
Milan,Genoa,1,1,2526
Como,Bologna,1,1,2526
Udinese,Pisa,2,2,2526
Roma,Sassuolo,2,0,2526
Atalanta,Torino,2,0,2526
Lecce,Parma,1,2,2526
Fiorentina,Milan,1,1,2526
Verona,Lazio,0,1,2526
Inter,Napoli,2,2,2526
Genoa,Cagliari,3,0,2526
Juventus,Cremonese,5,0,2526
Napoli,Parma,0,0,2526
Inter,Lecce,1,0,2526
Verona,Bologna,2,3,2526
Como,Milan,1,3,2526
Pisa,Atalanta,1,1,2526
Udinese,Inter,0,1,2526
Napoli,Sassuolo,1,0,2526
Cagliari,Juventus,1,0,2526
Parma,Genoa,0,0,2526
Bologna,Fiorentina,1,2,2526
Torino,Roma,0,2,2526
Milan,Lecce,1,0,2526
Cremonese,Verona,0,0,2526
Lazio,Como,0,3,2526
Inter,Pisa,6,2,2526
Como,Torino,6,0,2526
Fiorentina,Cagliari,1,2,2526
Lecce,Lazio,0,0,2526
Sassuolo,Cremonese,1,0,2526
Atalanta,Parma,4,0,2526
Genoa,Bologna,3,2,2526
Juventus,Napoli,3,0,2526
Roma,Milan,1,1,2526
Verona,Udinese,1,3,2526
Lazio,Genoa,3,2,2526
Pisa,Sassuolo,1,3,2526
Napoli,Fiorentina,2,1,2526
Cagliari,Verona,4,0,2526
Torino,Lecce,1,0,2526
Como,Atalanta,0,0,2526
Cremonese,Inter,0,2,2526
Parma,Juventus,1,4,2526
Udinese,Roma,1,0,2526
Bologna,Milan,0,3,2526
Verona,Pisa,0,0,2526
Genoa,Napoli,2,3,2526
Fiorentina,Torino,2,2,2526
Bologna,Parma,0,1,2526
Lecce,Udinese,2,1,2526
Sassuolo,Inter,0,5,2526
Juventus,Lazio,2,2,2526
Atalanta,Cremonese,2,1,2526
Roma,Cagliari,2,0,2526
Pisa,Milan,1,2,2526
Como,Fiorentina,1,2,2526
Lazio,Atalanta,0,2,2526
Inter,Juventus,3,2,2526
Udinese,Sassuolo,1,2,2526
Cremonese,Genoa,0,0,2526
Parma,Verona,2,1,2526
Torino,Bologna,1,2,2526
Napoli,Roma,2,2,2526
Cagliari,Lecce,0,2,2526
Milan,Como,1,1,2526
Sassuolo,Verona,3,0,2526
Juventus,Como,0,2,2526
Lecce,Inter,0,2,2526
Cagliari,Lazio,0,0,2526
Genoa,Torino,3,0,2526
Atalanta,Napoli,2,1,2526
Milan,Parma,0,1,2526
Roma,Cremonese,3,0,2526
Fiorentina,Pisa,1,0,2526
Bologna,Udinese,1,0,2526
Parma,Cagliari,1,1,2526
Como,Lecce,3,1,2526
Verona,Napoli,1,2,2526
Inter,Genoa,2,0,2526
Cremonese,Milan,0,2,2526
Sassuolo,Atalanta,2,1,2526
Torino,Lazio,2,0,2526
Roma,Juventus,3,3,2526
Pisa,Bologna,0,1,2526
Udinese,Fiorentina,3,0,2526
Napoli,Torino,2,1,2526
Cagliari,Como,1,2,2526
Atalanta,Udinese,2,2,2526
Juventus,Pisa,4,0,2526
Lecce,Cremonese,2,1,2526
Bologna,Verona,1,2,2526
Fiorentina,Parma,0,0,2526
Genoa,Roma,2,1,2526
Milan,Inter,1,0,2526
Lazio,Sassuolo,2,1,2526
Torino,Parma,4,1,2526
Inter,Atalanta,1,1,2526
Napoli,Lecce,2,1,2526
Udinese,Juventus,0,1,2526
Verona,Genoa,0,2,2526
Pisa,Cagliari,3,1,2526
Sassuolo,Bologna,0,1,2526
Como,Roma,2,1,2526
Lazio,Milan,1,0,2526
Cremonese,Fiorentina,1,4,2526
Cagliari,Napoli,0,1,2526
Genoa,Udinese,0,2,2526
Parma,Cremonese,0,2,2526
Milan,Torino,3,2,2526
Juventus,Sassuolo,1,1,2526
Como,Pisa,5,0,2526
Atalanta,Verona,1,0,2526
Bologna,Lazio,0,2,2526
Roma,Lecce,1,0,2526
Fiorentina,Inter,1,1,2526
Sassuolo,Cagliari,2,1,2526
Verona,Fiorentina,0,1,2526
Lazio,Parma,1,1,2526
Cremonese,Bologna,1,2,2526
Pisa,Torino,0,1,2526
Inter,Roma,5,2,2526
Udinese,Como,0,0,2526
Lecce,Atalanta,0,3,2526
Juventus,Genoa,2,0,2526
Napoli,Milan,1,0,2526
Roma,Pisa,3,0,2526
Cagliari,Cremonese,1,0,2526
Torino,Verona,2,1,2526
Milan,Udinese,0,3,2526
Atalanta,Juventus,0,1,2526
Genoa,Sassuolo,2,1,2526
Parma,Napoli,1,1,2526
Bologna,Lecce,2,0,2526
Como,Inter,3,4,2526
Fiorentina,Lazio,1,0,2526
Sassuolo,Como,2,1,2526
Inter,Cagliari,3,0,2526
Udinese,Parma,0,1,2526
Napoli,Lazio,0,2,2526
Roma,Atalanta,1,1,2526
Cremonese,Torino,0,0,2526
Verona,Milan,0,1,2526
Pisa,Genoa,1,2,2526
Juventus,Bologna,2,0,2526
Lecce,Fiorentina,1,1,2526
Bayern Munich,RB Leipzig,6,0,2526
Ein Frankfurt,Werder Bremen,4,1,2526
Freiburg,Augsburg,1,3,2526
Heidenheim,Wolfsburg,1,3,2526
Leverkusen,Hoffenheim,1,2,2526
Union Berlin,Stuttgart,2,1,2526
St Pauli,Dortmund,3,3,2526
Mainz,FC Koln,0,1,2526
M'gladbach,Hamburg,0,0,2526
Hamburg,St Pauli,0,2,2526
Hoffenheim,Ein Frankfurt,1,3,2526
RB Leipzig,Heidenheim,2,0,2526
Stuttgart,M'gladbach,1,0,2526
Werder Bremen,Leverkusen,3,3,2526
Augsburg,Bayern Munich,2,3,2526
Wolfsburg,Mainz,1,1,2526
Dortmund,Union Berlin,3,0,2526
FC Koln,Freiburg,4,1,2526
Leverkusen,Ein Frankfurt,3,1,2526
Freiburg,Stuttgart,3,1,2526
Heidenheim,Dortmund,0,2,2526
Mainz,RB Leipzig,0,1,2526
Union Berlin,Hoffenheim,2,4,2526
Wolfsburg,FC Koln,3,3,2526
Bayern Munich,Hamburg,5,0,2526
St Pauli,Augsburg,2,1,2526
M'gladbach,Werder Bremen,0,4,2526
Stuttgart,St Pauli,2,0,2526
Augsburg,Mainz,1,4,2526
Hamburg,Heidenheim,2,1,2526
Hoffenheim,Bayern Munich,1,4,2526
Werder Bremen,Freiburg,0,3,2526
RB Leipzig,FC Koln,3,1,2526
Ein Frankfurt,Union Berlin,3,4,2526
Leverkusen,M'gladbach,1,1,2526
Dortmund,Wolfsburg,1,0,2526
Bayern Munich,Werder Bremen,4,0,2526
Heidenheim,Augsburg,2,1,2526
Mainz,Dortmund,0,2,2526
St Pauli,Leverkusen,1,2,2526
Wolfsburg,RB Leipzig,0,1,2526
M'gladbach,Ein Frankfurt,4,6,2526
Freiburg,Hoffenheim,1,1,2526
FC Koln,Stuttgart,1,2,2526
Union Berlin,Hamburg,0,0,2526
Hoffenheim,FC Koln,0,1,2526
Augsburg,Wolfsburg,3,1,2526
Dortmund,RB Leipzig,1,1,2526
Leverkusen,Union Berlin,2,0,2526
Werder Bremen,St Pauli,1,0,2526
Ein Frankfurt,Bayern Munich,0,3,2526
Stuttgart,Heidenheim,1,0,2526
Hamburg,Mainz,4,0,2526
M'gladbach,Freiburg,0,0,2526
Union Berlin,M'gladbach,3,1,2526
FC Koln,Augsburg,1,1,2526
Heidenheim,Werder Bremen,2,2,2526
Mainz,Leverkusen,3,4,2526
RB Leipzig,Hamburg,2,1,2526
Wolfsburg,Stuttgart,0,3,2526
Bayern Munich,Dortmund,2,1,2526
Freiburg,Ein Frankfurt,2,2,2526
St Pauli,Hoffenheim,0,3,2526
Werder Bremen,Union Berlin,1,0,2526
Augsburg,RB Leipzig,0,6,2526
Ein Frankfurt,St Pauli,2,0,2526
Hamburg,Wolfsburg,0,1,2526
Hoffenheim,Heidenheim,3,1,2526
M'gladbach,Bayern Munich,0,3,2526
Dortmund,FC Koln,1,0,2526
Leverkusen,Freiburg,2,0,2526
Stuttgart,Mainz,2,1,2526
Augsburg,Dortmund,0,1,2526
Heidenheim,Ein Frankfurt,1,1,2526
Mainz,Werder Bremen,1,1,2526
RB Leipzig,Stuttgart,3,1,2526
St Pauli,M'gladbach,0,4,2526
Union Berlin,Freiburg,0,0,2526
Bayern Munich,Leverkusen,3,0,2526
FC Koln,Hamburg,4,1,2526
Wolfsburg,Hoffenheim,2,3,2526
Werder Bremen,Wolfsburg,2,1,2526
Hamburg,Dortmund,1,1,2526
Hoffenheim,RB Leipzig,3,1,2526
Leverkusen,Heidenheim,6,0,2526
Union Berlin,Bayern Munich,2,2,2526
M'gladbach,FC Koln,3,1,2526
Freiburg,St Pauli,2,1,2526
Stuttgart,Augsburg,3,2,2526
Ein Frankfurt,Mainz,1,0,2526
Mainz,Hoffenheim,1,1,2526
Augsburg,Hamburg,1,0,2526
Bayern Munich,Freiburg,6,2,2526
Dortmund,Stuttgart,3,3,2526
Heidenheim,M'gladbach,0,3,2526
Wolfsburg,Leverkusen,1,3,2526
FC Koln,Ein Frankfurt,3,4,2526
RB Leipzig,Werder Bremen,2,0,2526
St Pauli,Union Berlin,0,1,2526
M'gladbach,RB Leipzig,0,0,2526
Bayern Munich,St Pauli,3,1,2526
Hoffenheim,Augsburg,3,0,2526
Union Berlin,Heidenheim,1,2,2526
Werder Bremen,FC Koln,1,1,2526
Leverkusen,Dortmund,1,2,2526
Hamburg,Stuttgart,2,1,2526
Ein Frankfurt,Wolfsburg,1,1,2526
Freiburg,Mainz,4,0,2526
Mainz,M'gladbach,0,1,2526
Augsburg,Leverkusen,2,0,2526
FC Koln,St Pauli,1,1,2526
Heidenheim,Freiburg,2,1,2526
Stuttgart,Bayern Munich,0,5,2526
Wolfsburg,Union Berlin,3,1,2526
RB Leipzig,Ein Frankfurt,6,0,2526
Hamburg,Werder Bremen,3,2,2526
Dortmund,Hoffenheim,2,0,2526
Union Berlin,RB Leipzig,3,1,2526
Ein Frankfurt,Augsburg,1,0,2526
Hoffenheim,Hamburg,4,1,2526
M'gladbach,Wolfsburg,1,3,2526
St Pauli,Heidenheim,2,1,2526
Leverkusen,FC Koln,2,0,2526
Freiburg,Dortmund,1,1,2526
Bayern Munich,Mainz,2,2,2526
Werder Bremen,Stuttgart,0,4,2526
Dortmund,M'gladbach,2,0,2526
Augsburg,Werder Bremen,0,0,2526
FC Koln,Union Berlin,0,1,2526
Hamburg,Ein Frankfurt,1,1,2526
Stuttgart,Hoffenheim,0,0,2526
Wolfsburg,Freiburg,3,4,2526
RB Leipzig,Leverkusen,1,3,2526
Mainz,St Pauli,0,0,2526
Heidenheim,Bayern Munich,0,4,2526
Ein Frankfurt,Dortmund,3,3,2526
Freiburg,Hamburg,2,1,2526
Heidenheim,FC Koln,2,2,2526
Union Berlin,Mainz,2,2,2526
Leverkusen,Stuttgart,1,4,2526
M'gladbach,Augsburg,4,0,2526
Bayern Munich,Wolfsburg,8,1,2526
Stuttgart,Ein Frankfurt,3,2,2526
Dortmund,Werder Bremen,3,0,2526
Mainz,Heidenheim,2,1,2526
Wolfsburg,St Pauli,2,1,2526
FC Koln,Bayern Munich,1,3,2526
Hoffenheim,M'gladbach,5,1,2526
RB Leipzig,Freiburg,2,0,2526
Augsburg,Union Berlin,1,1,2526
Werder Bremen,Ein Frankfurt,3,3,2526
Dortmund,St Pauli,3,2,2526
FC Koln,Mainz,2,1,2526
Hamburg,M'gladbach,0,0,2526
Hoffenheim,Leverkusen,1,0,2526
Wolfsburg,Heidenheim,1,1,2526
RB Leipzig,Bayern Munich,1,5,2526
Stuttgart,Union Berlin,1,1,2526
Augsburg,Freiburg,2,2,2526
St Pauli,Hamburg,0,0,2526
Bayern Munich,Augsburg,1,2,2526
Ein Frankfurt,Hoffenheim,1,3,2526
Heidenheim,RB Leipzig,0,3,2526
Leverkusen,Werder Bremen,1,0,2526
Mainz,Wolfsburg,3,1,2526
Union Berlin,Dortmund,0,3,2526
M'gladbach,Stuttgart,0,3,2526
Freiburg,FC Koln,2,1,2526
St Pauli,RB Leipzig,1,1,2526
Werder Bremen,Hoffenheim,0,2,2526
FC Koln,Wolfsburg,1,0,2526
Augsburg,St Pauli,2,1,2526
Ein Frankfurt,Leverkusen,1,3,2526
Hoffenheim,Union Berlin,3,1,2526
RB Leipzig,Mainz,1,2,2526
Werder Bremen,M'gladbach,1,1,2526
Hamburg,Bayern Munich,2,2,2526
Stuttgart,Freiburg,1,0,2526
Dortmund,Heidenheim,3,2,2526
Union Berlin,Ein Frankfurt,1,1,2526
Freiburg,Werder Bremen,1,0,2526
Heidenheim,Hamburg,0,2,2526
Mainz,Augsburg,2,0,2526
St Pauli,Stuttgart,2,1,2526
Wolfsburg,Dortmund,1,2,2526
M'gladbach,Leverkusen,1,1,2526
FC Koln,RB Leipzig,1,2,2526
Bayern Munich,Hoffenheim,5,1,2526
Dortmund,Mainz,4,0,2526
Ein Frankfurt,M'gladbach,3,0,2526
Hamburg,Union Berlin,3,2,2526
Hoffenheim,Freiburg,3,0,2526
Leverkusen,St Pauli,4,0,2526
Werder Bremen,Bayern Munich,0,3,2526
Stuttgart,FC Koln,3,1,2526
Augsburg,Heidenheim,1,0,2526
RB Leipzig,Wolfsburg,2,2,2526
Mainz,Hamburg,1,1,2526
Bayern Munich,Ein Frankfurt,3,2,2526
FC Koln,Hoffenheim,2,2,2526
Union Berlin,Leverkusen,1,0,2526
Wolfsburg,Augsburg,2,3,2526
RB Leipzig,Dortmund,2,2,2526
Freiburg,M'gladbach,2,1,2526
St Pauli,Werder Bremen,2,1,2526
Heidenheim,Stuttgart,3,3,2526
Augsburg,FC Koln,2,0,2526
Hoffenheim,St Pauli,0,1,2526
Leverkusen,Mainz,1,1,2526
M'gladbach,Union Berlin,1,0,2526
Werder Bremen,Heidenheim,2,0,2526
Dortmund,Bayern Munich,2,3,2526
Stuttgart,Wolfsburg,4,0,2526
Ein Frankfurt,Freiburg,2,0,2526
Hamburg,RB Leipzig,1,2,2526
Hamburg,Leverkusen,0,1,2526
Bayern Munich,M'gladbach,4,1,2526
Freiburg,Leverkusen,3,3,2526
Heidenheim,Hoffenheim,2,4,2526
Mainz,Stuttgart,2,2,2526
RB Leipzig,Augsburg,2,1,2526
Wolfsburg,Hamburg,1,2,2526
FC Koln,Dortmund,1,2,2526
St Pauli,Ein Frankfurt,0,0,2526
Union Berlin,Werder Bremen,1,4,2526
M'gladbach,St Pauli,2,0,2526
Dortmund,Augsburg,2,0,2526
Ein Frankfurt,Heidenheim,1,0,2526
Hoffenheim,Wolfsburg,1,1,2526
Leverkusen,Bayern Munich,1,1,2526
Hamburg,FC Koln,1,1,2526
Werder Bremen,Mainz,0,2,2526
Freiburg,Union Berlin,0,1,2526
Stuttgart,RB Leipzig,1,0,2526
RB Leipzig,Hoffenheim,5,0,2526
Bayern Munich,Union Berlin,4,0,2526
FC Koln,M'gladbach,3,3,2526
Heidenheim,Leverkusen,3,3,2526
Wolfsburg,Werder Bremen,0,1,2526
Dortmund,Hamburg,3,2,2526
Mainz,Ein Frankfurt,2,1,2526
St Pauli,Freiburg,1,2,2526
Augsburg,Stuttgart,2,5,2526
Freiburg,Bayern Munich,2,3,2526
Hamburg,Augsburg,1,1,2526
Hoffenheim,Mainz,1,2,2526
Leverkusen,Wolfsburg,6,3,2526
M'gladbach,Heidenheim,2,2,2526
Werder Bremen,RB Leipzig,1,2,2526
Stuttgart,Dortmund,0,2,2526
Union Berlin,St Pauli,1,1,2526
Ein Frankfurt,FC Koln,2,2,2526
Augsburg,Hoffenheim,2,2,2526
Dortmund,Leverkusen,0,1,2526
Heidenheim,Union Berlin,3,1,2526
RB Leipzig,M'gladbach,1,0,2526
Wolfsburg,Ein Frankfurt,1,2,2526
St Pauli,Bayern Munich,0,5,2526
FC Koln,Werder Bremen,3,1,2526
Stuttgart,Hamburg,4,0,2526
Mainz,Freiburg,0,1,2526
St Pauli,FC Koln,1,1,2526
Hoffenheim,Dortmund,2,1,2526
Leverkusen,Augsburg,1,2,2526
Union Berlin,Wolfsburg,1,2,2526
Werder Bremen,Hamburg,3,1,2526
Ein Frankfurt,RB Leipzig,1,3,2526
Freiburg,Heidenheim,2,1,2526
Bayern Munich,Stuttgart,4,2,2526
M'gladbach,Mainz,1,1,2526
Rennes,Marseille,1,0,2526
Lens,Lyon,0,1,2526
Monaco,Le Havre,3,1,2526
Nice,Toulouse,0,1,2526
Brest,Lille,3,3,2526
Angers,Paris FC,1,0,2526
Auxerre,Lorient,1,0,2526
Metz,Strasbourg,0,1,2526
Nantes,Paris SG,0,1,2526
Paris SG,Angers,1,0,2526
Marseille,Paris FC,5,2,2526
Nice,Auxerre,3,1,2526
Lyon,Metz,3,0,2526
Lorient,Rennes,4,0,2526
Le Havre,Lens,1,2,2526
Strasbourg,Nantes,1,0,2526
Toulouse,Brest,2,0,2526
Lille,Monaco,1,0,2526
Lens,Brest,3,1,2526
Lorient,Lille,1,7,2526
Nantes,Auxerre,1,0,2526
Toulouse,Paris SG,3,6,2526
Angers,Rennes,1,1,2526
Le Havre,Nice,3,1,2526
Monaco,Strasbourg,3,2,2526
Paris FC,Metz,3,2,2526
Lyon,Marseille,1,0,2526
Marseille,Lorient,4,0,2526
Nice,Nantes,1,0,2526
Auxerre,Monaco,1,2,2526
Lille,Toulouse,2,1,2526
Brest,Paris FC,1,2,2526
Metz,Angers,1,1,2526
Paris SG,Lens,2,0,2526
Strasbourg,Le Havre,1,0,2526
Rennes,Lyon,3,1,2526
Lyon,Angers,1,0,2526
Nantes,Rennes,2,2,2526
Brest,Nice,4,1,2526
Lens,Lille,3,0,2526
Paris FC,Strasbourg,2,3,2526
Auxerre,Toulouse,1,0,2526
Le Havre,Lorient,1,1,2526
Monaco,Metz,5,2,2526
Marseille,Paris SG,1,0,2526
Strasbourg,Marseille,1,2,2526
Lorient,Monaco,3,1,2526
Toulouse,Nantes,2,2,2526
Paris SG,Auxerre,2,0,2526
Nice,Paris FC,1,1,2526
Angers,Brest,0,2,2526
Lille,Lyon,0,1,2526
Metz,Le Havre,0,0,2526
Rennes,Lens,0,0,2526
Paris FC,Lorient,2,0,2526
Metz,Marseille,0,3,2526
Brest,Nantes,0,0,2526
Auxerre,Lens,1,2,2526
Lyon,Toulouse,1,2,2526
Le Havre,Rennes,2,2,2526
Monaco,Nice,2,2,2526
Strasbourg,Angers,5,0,2526
Lille,Paris SG,1,1,2526
Paris SG,Strasbourg,3,3,2526
Nice,Lyon,3,2,2526
Angers,Monaco,1,1,2526
Marseille,Le Havre,6,2,2526
Lens,Paris FC,2,1,2526
Lorient,Brest,3,3,2526
Rennes,Auxerre,2,2,2526
Toulouse,Metz,4,0,2526
Nantes,Lille,0,2,2526
Paris FC,Nantes,1,2,2526
Brest,Paris SG,0,3,2526
Monaco,Toulouse,1,0,2526
Lens,Marseille,2,1,2526
Lille,Metz,6,1,2526
Angers,Lorient,2,0,2526
Auxerre,Le Havre,0,1,2526
Rennes,Nice,1,2,2526
Lyon,Strasbourg,2,1,2526
Le Havre,Brest,1,0,2526
Lorient,Paris SG,1,1,2526
Metz,Lens,2,0,2526
Nice,Lille,2,0,2526
Marseille,Angers,2,2,2526
Nantes,Monaco,3,5,2526
Paris FC,Lyon,3,3,2526
Strasbourg,Auxerre,3,0,2526
Toulouse,Rennes,2,2,2526
Paris SG,Nice,1,0,2526
Monaco,Paris FC,0,1,2526
Auxerre,Marseille,0,1,2526
Rennes,Strasbourg,4,1,2526
Lens,Lorient,3,0,2526
Lille,Angers,1,0,2526
Nantes,Metz,0,2,2526
Toulouse,Le Havre,0,0,2526
Brest,Lyon,0,0,2526
Paris FC,Rennes,0,1,2526
Marseille,Brest,3,0,2526
Le Havre,Nantes,1,1,2526
Monaco,Lens,1,4,2526
Lorient,Toulouse,1,1,2526
Angers,Auxerre,2,0,2526
Metz,Nice,2,1,2526
Strasbourg,Lille,2,0,2526
Lyon,Paris SG,2,3,2526
Nice,Marseille,1,5,2526
Lens,Strasbourg,1,0,2526
Rennes,Monaco,4,1,2526
Paris SG,Le Havre,3,0,2526
Auxerre,Lyon,0,0,2526
Brest,Metz,3,2,2526
Nantes,Lorient,1,1,2526
Toulouse,Angers,0,1,2526
Lille,Paris FC,4,2,2526
Metz,Rennes,0,1,2526
Monaco,Paris SG,1,0,2526
Paris FC,Auxerre,1,1,2526
Marseille,Toulouse,2,2,2526
Strasbourg,Brest,1,2,2526
Angers,Lens,1,2,2526
Le Havre,Lille,0,1,2526
Lorient,Nice,3,1,2526
Lyon,Nantes,3,0,2526
Brest,Monaco,1,0,2526
Lille,Marseille,1,0,2526
Nantes,Lens,1,2,2526
Toulouse,Strasbourg,1,0,2526
Paris SG,Rennes,5,0,2526
Nice,Angers,0,1,2526
Auxerre,Metz,3,1,2526
Le Havre,Paris FC,0,0,2526
Lorient,Lyon,1,0,2526
Angers,Nantes,4,1,2526
Rennes,Brest,3,1,2526
Metz,Paris SG,2,3,2526
Paris FC,Toulouse,0,3,2526
Lyon,Le Havre,1,0,2526
Auxerre,Lille,3,4,2526
Lens,Nice,2,0,2526
Strasbourg,Lorient,0,0,2526
Marseille,Monaco,1,0,2526
Toulouse,Lens,0,3,2526
Monaco,Lyon,1,3,2526
Nice,Strasbourg,1,1,2526
Lille,Rennes,0,2,2526
Marseille,Nantes,0,2,2526
Brest,Auxerre,2,0,2526
Le Havre,Angers,2,1,2526
Lorient,Metz,1,1,2526
Paris SG,Paris FC,2,1,2526
Monaco,Lorient,1,3,2526
Paris SG,Lille,3,0,2526
Lens,Auxerre,1,0,2526
Toulouse,Nice,5,1,2526
Angers,Marseille,2,5,2526
Strasbourg,Metz,2,1,2526
Nantes,Paris FC,1,2,2526
Rennes,Le Havre,1,1,2526
Lyon,Brest,2,1,2526
Auxerre,Paris SG,0,1,2526
Rennes,Lorient,0,2,2526
Le Havre,Monaco,0,0,2526
Marseille,Lens,3,1,2526
Nantes,Nice,1,4,2526
Brest,Toulouse,0,2,2526
Metz,Lyon,2,5,2526
Paris FC,Angers,0,0,2526
Lille,Strasbourg,1,4,2526
Lens,Le Havre,1,0,2526
Paris FC,Marseille,2,2,2526
Lorient,Nantes,2,1,2526
Monaco,Rennes,4,0,2526
Lyon,Lille,1,0,2526
Angers,Metz,1,0,2526
Nice,Brest,2,2,2526
Toulouse,Auxerre,0,0,2526
Strasbourg,Paris SG,1,2,2526
Metz,Lille,0,0,2526
Lens,Rennes,3,1,2526
Brest,Lorient,2,0,2526
Nantes,Lyon,0,1,2526
Nice,Monaco,0,0,2526
Angers,Toulouse,1,0,2526
Auxerre,Paris FC,0,0,2526
Le Havre,Strasbourg,2,1,2526
Paris SG,Marseille,5,0,2526
Rennes,Paris SG,3,1,2526
Monaco,Nantes,3,1,2526
Marseille,Strasbourg,2,2,2526
Lille,Brest,1,1,2526
Paris FC,Lens,0,5,2526
Le Havre,Toulouse,2,1,2526
Lorient,Angers,2,0,2526
Metz,Auxerre,1,3,2526
Lyon,Nice,2,0,2526
Brest,Marseille,2,0,2526
Lens,Monaco,2,3,2526
Toulouse,Paris FC,1,1,2526
Paris SG,Metz,3,0,2526
Auxerre,Rennes,0,3,2526
Angers,Lille,0,1,2526
Nantes,Le Havre,2,0,2526
Nice,Lorient,3,3,2526
Strasbourg,Lyon,3,1,2526
Strasbourg,Lens,1,1,2526
Rennes,Toulouse,1,0,2526
Monaco,Angers,2,0,2526
Le Havre,Paris SG,0,1,2526
Paris FC,Nice,1,0,2526
Lille,Nantes,1,0,2526
Lorient,Auxerre,2,2,2526
Metz,Brest,0,1,2526
Marseille,Lyon,3,2,2526
Paris SG,Monaco,1,3,2526
Nantes,Angers,0,1,2526
Auxerre,Strasbourg,0,0,2526
Toulouse,Marseille,0,1,2526
Lens,Metz,3,0,2526
Brest,Le Havre,2,0,2526
Lille,Lorient,1,1,2526
Nice,Rennes,0,4,2526
Lyon,Paris FC,1,1,2526
Marseille,Auxerre,1,0,2526
Lorient,Lens,2,1,2526
Angers,Nice,0,2,2526
Monaco,Brest,2,0,2526
Strasbourg,Paris FC,0,0,2526
Le Havre,Lyon,0,0,2526
Metz,Toulouse,3,4,2526
Rennes,Lille,1,2,2526
Lens,Angers,5,1,2526
Toulouse,Lorient,1,0,2526
Auxerre,Brest,3,0,2526
Nice,Paris SG,0,4,2526
Lyon,Monaco,1,2,2526
Marseille,Lille,1,2,2526
Paris FC,Le Havre,3,2,2526
Rennes,Metz,0,0,2526
Nantes,Strasbourg,2,3,2526
Paris SG,Toulouse,3,1,2526
Strasbourg,Nice,3,1,2526
Brest,Rennes,3,4,2526
Lille,Lens,3,0,2526
Angers,Lyon,0,0,2526
Le Havre,Auxerre,1,1,2526
Lorient,Paris FC,1,1,2526
Metz,Nantes,0,0,2526
Monaco,Marseille,2,1,2526
Paris FC,Monaco,4,1,2526
Marseille,Metz,3,1,2526
Auxerre,Nantes,0,0,2526
Rennes,Angers,2,1,2526
Nice,Le Havre,1,1,2526
Toulouse,Lille,0,4,2526
Lyon,Lorient,2,0,2526
Lens,Toulouse,3,2,2526
Lorient,Marseille,2,0,2526
Angers,Le Havre,1,1,2526
Lille,Nice,0,0,2526
Monaco,Auxerre,2,2,2526
Metz,Paris FC,1,3,2526
Nantes,Brest,1,1,2526
Strasbourg,Rennes,0,3,2526
Paris SG,Lyon,1,2,2526
