CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Arsenal,Brighton,2,1,2526
Brentford,Bournemouth,4,1,2526
Burnley,Everton,0,0,2526
Liverpool,Wolves,2,1,2526
West Ham,Fulham,0,1,2526
Chelsea,Aston Villa,1,2,2526
Sunderland,Leeds,1,1,2526
Crystal Palace,Tottenham,0,1,2526
Burnley,Newcastle,1,3,2526
Chelsea,Bournemouth,2,2,2526
Nott'm Forest,Everton,0,2,2526
West Ham,Brighton,2,2,2526
Arsenal,Aston Villa,4,1,2526
Man United,Wolves,1,1,2526
Crystal Palace,Fulham,1,1,2526
Liverpool,Leeds,0,0,2526
Brentford,Tottenham,0,0,2526
Sunderland,Man City,0,0,2526
Aston Villa,Nott'm Forest,3,1,2526
Brighton,Burnley,2,0,2526
Wolves,West Ham,3,0,2526
Bournemouth,Arsenal,2,3,2526
Leeds,Man United,1,1,2526
Everton,Brentford,2,4,2526
Newcastle,Crystal Palace,2,0,2526
Tottenham,Sunderland,1,1,2526
Fulham,Liverpool,2,2,2526
Man City,Chelsea,1,1,2526
West Ham,Nott'm Forest,1,2,2526
Bournemouth,Tottenham,3,2,2526
Brentford,Sunderland,3,0,2526
Crystal Palace,Aston Villa,0,0,2526
Everton,Wolves,1,1,2526
Fulham,Chelsea,2,1,2526
Man City,Brighton,1,1,2526
Burnley,Man United,2,2,2526
Newcastle,Leeds,4,3,2526
Arsenal,Liverpool,0,0,2526
Man United,Man City,2,0,2526
Chelsea,Brentford,2,0,2526
Leeds,Fulham,1,0,2526
Liverpool,Burnley,1,1,2526
Sunderland,Crystal Palace,2,1,2526
Tottenham,West Ham,1,2,2526
Nott'm Forest,Arsenal,0,0,2526
Wolves,Newcastle,0,0,2526
Aston Villa,Everton,0,1,2526
Brighton,Bournemouth,1,1,2526
West Ham,Sunderland,3,1,2526
Burnley,Tottenham,2,2,2526
Fulham,Brighton,2,1,2526
Man City,Wolves,2,0,2526
Bournemouth,Liverpool,3,2,2526
Brentford,Nott'm Forest,0,2,2526
Crystal Palace,Chelsea,1,3,2526
Newcastle,Aston Villa,0,2,2526
Arsenal,Man United,2,3,2526
Everton,Leeds,1,1,2526
Brighton,Everton,1,1,2526
Leeds,Arsenal,0,4,2526
Wolves,Bournemouth,0,2,2526
Chelsea,West Ham,3,2,2526
Liverpool,Newcastle,4,1,2526
Aston Villa,Brentford,0,1,2526
Man United,Fulham,3,2,2526
Nott'm Forest,Crystal Palace,1,1,2526
Tottenham,Man City,2,2,2526
Sunderland,Burnley,3,0,2526
Leeds,Nott'm Forest,3,1,2526
Man United,Tottenham,2,0,2526
Arsenal,Sunderland,3,0,2526
Bournemouth,Aston Villa,1,1,2526
Burnley,West Ham,0,2,2526
Fulham,Everton,1,2,2526
Wolves,Chelsea,1,3,2526
Newcastle,Brentford,2,3,2526
Brighton,Crystal Palace,0,1,2526
Liverpool,Man City,1,2,2526
Chelsea,Leeds,2,2,2526
Everton,Bournemouth,1,2,2526
Tottenham,Newcastle,1,2,2526
West Ham,Man United,1,1,2526
Aston Villa,Brighton,1,0,2526
Crystal Palace,Burnley,2,3,2526
Man City,Fulham,3,0,2526
Nott'm Forest,Wolves,0,0,2526
Sunderland,Liverpool,0,1,2526
Brentford,Arsenal,1,1,2526
Wolves,Arsenal,2,2,2526
Aston Villa,Leeds,1,1,2526
Brentford,Brighton,0,2,2526
Chelsea,Burnley,1,1,2526
West Ham,Bournemouth,0,0,2526
Man City,Newcastle,2,1,2526
Crystal Palace,Wolves,1,0,2526
Nott'm Forest,Liverpool,0,1,2526
Sunderland,Fulham,1,3,2526
Tottenham,Arsenal,1,4,2526
Everton,Man United,0,1,2526
Wolves,Aston Villa,2,0,2526
Bournemouth,Sunderland,1,1,2526
Burnley,Brentford,3,4,2526
Liverpool,West Ham,5,2,2526
Newcastle,Everton,2,3,2526
Leeds,Man City,0,1,2526
Brighton,Nott'm Forest,2,1,2526
Fulham,Tottenham,2,1,2526
Man United,Crystal Palace,2,1,2526
Arsenal,Chelsea,2,1,2526
Bournemouth,Brentford,0,0,2526
Everton,Burnley,2,0,2526
Leeds,Sunderland,0,1,2526
Wolves,Liverpool,2,1,2526
Aston Villa,Chelsea,1,4,2526
Brighton,Arsenal,0,1,2526
Fulham,West Ham,0,1,2526
Man City,Nott'm Forest,2,2,2526
Newcastle,Man United,2,1,2526
Tottenham,Crystal Palace,1,3,2526
Burnley,Bournemouth,0,0,2526
Sunderland,Brighton,0,1,2526
Arsenal,Everton,2,0,2526
Chelsea,Newcastle,0,1,2526
West Ham,Man City,1,1,2526
Crystal Palace,Leeds,0,0,2526
Man United,Aston Villa,3,1,2526
Nott'm Forest,Fulham,0,0,2526
Liverpool,Tottenham,1,1,2526
Brentford,Wolves,2,2,2526
Bournemouth,Man United,2,2,2526
Brighton,Liverpool,2,1,2526
Fulham,Burnley,3,1,2526
Everton,Chelsea,3,0,2526
Leeds,Brentford,0,0,2526
Newcastle,Sunderland,1,2,2526
Aston Villa,West Ham,2,0,2526
Tottenham,Nott'm Forest,0,3,2526
West Ham,Wolves,4,0,2526
Arsenal,Bournemouth,1,2,2526
Brentford,Everton,2,2,2526
Burnley,Brighton,0,2,2526
Liverpool,Fulham,2,0,2526
Crystal Palace,Newcastle,2,1,2526
Nott'm Forest,Aston Villa,1,1,2526
Sunderland,Tottenham,1,0,2526
Chelsea,Man City,0,3,2526
Man United,Leeds,1,2,2526
Brentford,Fulham,0,0,2526
Leeds,Wolves,3,0,2526
Newcastle,Bournemouth,1,2,2526
Tottenham,Brighton,2,2,2526
Chelsea,Man United,0,1,2526
Aston Villa,Sunderland,4,3,2526
Everton,Liverpool,1,2,2526
Nott'm Forest,Burnley,4,1,2526
Man City,Arsenal,2,1,2526
Crystal Palace,West Ham,0,0,2526
Brighton,Chelsea,3,0,2526
Bournemouth,Leeds,2,2,2526
Burnley,Man City,0,1,2526
Girona,Vallecano,1,3,2526
